flow;avg;median;std;gini;herf;hoov;palm;thlt;thll;max;top01;top02;top05;top10;pc20;pc50;pc80
0;145.635;144;12.09470029;0.046221547;3.47E-05;0.033062966;3.934541793;0.003395311;-0.003354481;197;174;173.02;166.05;162;135;144;156.2
1;145.735;144;11.90356144;0.045394209;3.35E-05;0.032407623;3.951269036;0.003283492;-0.003242843;196;173.01;173;166.1;162;135;144;156
2;145.205;144;12.09929647;0.046359457;3.49E-05;0.03269154;4.090877316;0.003419443;-0.003379598;194;174.03;173.02;167.05;161;134;144;155.2
3;145.655;144;12.59428343;0.047084721;3.76E-05;0.033081769;3.933176629;0.00365335;-0.00358685;202;183.11;174;166;162;135;144;156
4;145.39;144;12.56813033;0.048249192;3.76E-05;0.034241695;4.040795338;0.003686874;-0.003651333;195;174;173;168.05;163;134;144;156
5;145.865;145;12.9991067;0.048707195;3.99E-05;0.034110136;3.969912103;0.003898338;-0.003846216;201;188.07;174;165.1;162;134;145;156
6;145.365;144;13.17883815;0.049124101;4.13E-05;0.034676504;4.0553814;0.004010915;-0.003934805;201;190.04;174.28;166.1;161;134;144;155
7;147.495;146;13.2800593;0.049283535;4.07E-05;0.034491;4.139559286;0.003975177;-0.003917146;201;190.03;174.32;169;164.1;135.8;146;158
8;146.545;145;15.07408289;0.051595926;5.32E-05;0.035702515;4.183768323;0.004954192;-0.004710561;263;188.01;175.02;169.15;163.1;135;145;156
9;146.285;145;12.95275164;0.04931965;3.94E-05;0.034816796;3.973101805;0.00387333;-0.003842606;196;174.14;174;169.05;164.1;135;145;157
10;147.805;145;16.91055809;0.058441697;6.58E-05;0.040700924;3.817766166;0.006194676;-0.005924645;238;215.03;197.1;172.1;165.1;135;145;159
11;146.415;145;13.16407137;0.049389919;4.06E-05;0.034874671;3.879598662;0.003955292;-0.00388768;203;188.01;175.02;170.05;164;134.8;145;156.2
12;146.22;146;13.3832582;0.048447887;4.21E-05;0.033632198;4.033703961;0.004058623;-0.003962138;222;177.26;174.02;168.05;161.1;135;146;155
13;145.51;144;12.21474109;0.046584427;3.54E-05;0.032749639;3.877818916;0.003479865;-0.003449066;188;177.01;174.02;168.15;162.1;134.8;144;154
14;146.955;146;13.63058968;0.050608179;4.32E-05;0.035162295;3.973156643;0.004219442;-0.004161808;211;187.01;177.02;172;164;135.8;146;156
15;146.205;145;13.8008324;0.051900927;4.48E-05;0.036501659;3.973666211;0.004370243;-0.004308369;202;190.04;175.06;169.1;164;134;145;157.4
16;144.625;144;14.58850147;0.054032325;5.11E-05;0.037324978;4.13285968;0.004942124;-0.004831566;206;195.03;182.14;171.05;161.3;133;144;154
17;145.19;143;13.90553487;0.049528549;4.61E-05;0.03465218;3.843947983;0.004389096;-0.004232886;224;195.04;180.16;169;161.1;135;143;152.2
18;145.11;144;15.27474713;0.053012542;5.57E-05;0.036535042;3.926630435;0.005216967;-0.004971631;247;201.06;177.08;169;162.2;134;144;153
19;146.45;145;18.50236471;0.058376238;8.02E-05;0.040194606;3.813355049;0.00708828;-0.006484221;313;190.19;188;173.05;164.1;133;145;156
20;146.04;145;15.93105144;0.052060052;5.98E-05;0.035043824;3.951564077;0.005441771;-0.005092696;285;182.04;174.04;168;163;134;145;154
21;147.585;145;14.61070755;0.053527289;4.92E-05;0.037399973;3.996947083;0.004765982;-0.004660882;204;197.05;186.1;173;167.1;135.8;145;157.4
22;148.785;148.5;16.16040764;0.055858622;5.93E-05;0.038327116;3.947829014;0.005611508;-0.005401855;252;204.02;189.12;172;165;136;148.5;159
23;147.595;145;15.76740229;0.05470934;5.73E-05;0.038904604;4.004763525;0.005371399;-0.005125546;263;184.02;178.1;171.1;167.1;134;145;161
24;147.86;146;16.92248209;0.059608752;6.58E-05;0.041463547;3.997961957;0.006237763;-0.006003423;237;207.21;188.12;174.05;166.1;133;146;158.2
25;146.935;146;13.686518;0.051535203;4.36E-05;0.035461599;4.048746996;0.004290005;-0.004262232;195;182.11;177.06;171.05;165;136;146;157
26;146.92;146;13.01167168;0.049168255;3.94E-05;0.034539886;4.007874016;0.003881869;-0.003859825;202;176.1;173.02;169;164.1;136.8;146;157
27;146.805;146;14.20200602;0.052009298;4.70E-05;0.036004734;3.857472781;0.004554251;-0.004458536;207;194.05;186.04;172.05;163.1;135;146;156.2
28;148.4;147;13.66601624;0.049223383;4.26E-05;0.034070081;4.09287183;0.004117493;-0.004023238;210;202.07;174.02;171;165;137;147;158
29;148.29;145;19.84781852;0.063084834;9.00E-05;0.043089891;4.068624104;0.008155994;-0.007560912;273;230.17;207.42;175;166;134.8;145;157
30;148.15;146;14.6005993;0.053360108;4.88E-05;0.036733041;4.057685665;0.004750704;-0.004675259;206;195.07;186.08;173.1;166;137;146;157.2
31;146.18;145.5;16.09371306;0.050440895;6.09E-05;0.034502668;4.119802678;0.005419042;-0.004987117;299;178.01;175.04;167;162;135;145.5;155
32;148.185;145;16.69313557;0.058538145;6.38E-05;0.040595371;3.851972612;0.006055764;-0.005829736;230;208;195.22;179.1;166;135;145;159.2
33;148.165;147;15.65975016;0.054044646;5.61E-05;0.037046873;3.931287525;0.005315826;-0.005113513;234;220.01;177.04;173;166;137;147;158.2
34;146.365;145;15.9484098;0.055202234;5.97E-05;0.038651146;3.95;0.00558886;-0.005326616;253;195.09;189.02;168.05;163;133.8;145;156
35;149.5;148;15.93831861;0.056133779;5.71E-05;0.03916388;3.8035313;0.005440301;-0.005252403;241;196.04;189.04;177.2;171;137;148;160
