flow;avg;median;std;gini;herf;hoov;palm;thlt;thll;max;top01;top02;top05;top10;pc20;pc50;pc80
0;256.42;253.5;22.64781667;0.049323766;3.92E-05;0.035249201;3.930365297;0.003842869;-0.003800234;348;311.01;309;295.1;286;236;253.5;275.2
1;256.7;254;22.33808407;0.04843806;3.81E-05;0.034468251;4.043273938;0.003726316;-0.003680876;349;309.01;308;293.2;287;237.8;254;275.2
2;257.445;254;24.81162983;0.052693876;4.67E-05;0.037001593;3.905589124;0.004544689;-0.004471763;360;341.09;308.08;300.05;289;236.8;254;278.2
3;257.565;255;24.3352784;0.052577699;4.49E-05;0.037033661;4.00992411;0.004404819;-0.004367021;349;310.29;309.02;301.2;290;236;255;278
4;255.565;253;24.43411089;0.05282482;4.59E-05;0.037290318;4.122592295;0.004491797;-0.004437397;361;310.31;307.02;296.05;288.1;233.8;253;274.2
5;256.88;254;25.09772101;0.052695811;4.80E-05;0.036698069;3.936864325;0.004650522;-0.004558859;363;342.07;314.52;296;288;235.8;254;273
6;256.545;253;23.58236576;0.051551677;4.25E-05;0.03690376;4.05357849;0.004173369;-0.004138202;340;309.03;309;299.2;290;236;253;275
7;254.99;253;22.35844136;0.049753128;3.86E-05;0.035471195;3.994496855;0.003815496;-0.003798559;313;308.01;306.02;295.05;286.2;233.8;253;273
8;254.08;253;24.3609031;0.053463082;4.62E-05;0.037482683;4.007731959;0.004543567;-0.004511873;343;312.03;309.04;300.1;287.1;233;253;270.4
9;253.995;253;24.77750946;0.053497215;4.78E-05;0.0372153;4.007898894;0.004678319;-0.004624839;350;315.26;310.04;301;286.2;234;253;270.2
10;256.445;254;26.28244614;0.055811285;5.28E-05;0.039500673;3.923831506;0.005122249;-0.005027903;375;338.04;317.4;300;289.1;235;254;276
11;255.305;253;24.80024143;0.054144161;4.74E-05;0.03824553;4.064798251;0.004651461;-0.004606593;339;318.15;311.1;300.1;291;234;253;273.4
12;254.325;252;23.25939326;0.050607785;4.20E-05;0.035514106;3.919178345;0.004114912;-0.004068235;360;316.01;304.04;293.05;284.2;234.6;252;272.2
13;257.715;254;25.49615216;0.054554159;4.92E-05;0.038729216;3.832988138;0.004795977;-0.004725872;374;317.16;309.16;300.15;295;236;254;277
14;257.67;255.5;24.73703903;0.051774751;4.63E-05;0.035543525;3.894106464;0.004512663;-0.004446071;361;334.17;311.46;298.15;289.1;239;255.5;274.2
15;254.27;252;24.94748685;0.054184528;4.84E-05;0.038108507;3.984681016;0.004724672;-0.004661181;360;317.02;311.02;300;290;234;252;273.4
16;254.66;253;22.25161567;0.048247664;3.84E-05;0.033488573;4.063501484;0.003778933;-0.00375742;334;310.24;305;293.05;285;237.8;253;272
17;257.475;256.5;25.94955443;0.0553612;5.10E-05;0.038506166;4.007600858;0.004980559;-0.004913419;374;334.05;313.12;300.3;290;234;256.5;276
18;256.02;256;24.44973619;0.054123897;4.58E-05;0.038415749;3.904157044;0.004560646;-0.004579988;324;312.02;309.04;298.05;288.2;233.8;256;275.2
19;255.655;255.5;22.99317236;0.050557881;4.06E-05;0.035506835;3.9726081;0.004020903;-0.004012952;324;310.12;307.06;296;286.1;236;255.5;275
20;254.74;253;24.80367715;0.05249843;4.76E-05;0.036839915;4.062746646;0.004612278;-0.004516953;375;339.06;309.22;293.05;284;235;253;272
21;255.3;255.5;22.28654302;0.048388562;3.83E-05;0.033940462;3.882453475;0.003776853;-0.00375996;336;322.07;303.04;293;282.2;236.8;255.5;271
22;257.8;256;25.59179556;0.054224593;4.95E-05;0.037148953;3.852196575;0.00484272;-0.00478631;343;337.05;333;298.1;289.1;237.6;256;275
23;259.415;255.5;26.69462071;0.055474915;5.32E-05;0.038941175;3.84260132;0.005131488;-0.004998386;340;339;336.06;315.1;294.4;238;255.5;274.2
24;256.965;255.5;24.38470371;0.053059074;4.53E-05;0.037872084;4.021722265;0.004441155;-0.004399185;342;323.02;314.1;302;288;234.8;255.5;276.2
25;255.19;252;26.02506292;0.054385948;5.23E-05;0.037431326;3.703881701;0.005038579;-0.004912157;362;341.03;332.02;301.1;291;235;252;272
26;256.34;252.5;25.13969769;0.053304595;4.83E-05;0.037822813;4.093386774;0.004678229;-0.004576684;372;332.08;312.38;297.05;289.1;235;252.5;276.2
27;256.595;255;23.46829723;0.04984343;4.20E-05;0.034253493;3.920571429;0.004103672;-0.004046435;343;340;317.02;293.15;287;237;255;275
28;254.8;252.5;27.80791254;0.058874804;5.99E-05;0.040600471;3.91455635;0.005781403;-0.005652192;371;345.11;324.38;299.3;290.1;233;252.5;273
29;256.59;254;25.22264657;0.053034803;4.86E-05;0.036853736;4.126376928;0.004694894;-0.004589216;373;334.07;319.1;305.05;287.2;236;254;273
30;258.465;255;27.21100467;0.057782001;5.57E-05;0.040871201;3.827930645;0.005422396;-0.005336415;351;340;339;303.35;291.1;236.8;255;278
31;254.145;252;26.21648289;0.055787149;5.35E-05;0.039326959;3.795377678;0.005169431;-0.005056039;379;328.12;322.1;297.05;288.2;233;252;273
32;259.5;258;26.75929745;0.055346628;5.34E-05;0.03756262;3.85258216;0.005181769;-0.005085845;381;345.08;324.32;307;291;238;258;276
33;256.33;254;25.98790296;0.056485195;5.17E-05;0.039863457;4.021009228;0.005069173;-0.005025212;340;338;310.24;303.05;291.1;235;254;276
34;259.32;255;28.57512205;0.060119158;6.10E-05;0.042774179;4.05305561;0.005909399;-0.005787174;365;343.02;340.02;314.05;294;236;255;280
35;257.185;255;26.6827805;0.056974065;5.41E-05;0.039760581;3.757400856;0.005278867;-0.005206832;346;335.01;329.1;310.05;287.3;234.8;255;276
36;259.39;256;26.042617;0.0546033;5.07E-05;0.03792147;3.972962681;0.004931232;-0.004854054;363;340.12;336.02;303.2;293.1;238.8;256;277.2
37;252.43;252;23.56236618;0.051908846;4.38E-05;0.037048489;3.848473355;0.004287671;-0.004238507;342;321.01;310.14;293.1;280.1;232;252;271
38;259.92;256;26.97857669;0.05667994;5.41E-05;0.039165128;3.863406408;0.005268251;-0.005181925;362;336.07;335;306.1;297.2;237.8;256;277.2
39;260.39;259;25.85764684;0.056223933;4.96E-05;0.039993471;4.113667923;0.004906348;-0.004903358;334;321.1;315.04;306.05;297;238;259;282.2
40;262.52;258;27.63601997;0.056969374;5.57E-05;0.039927625;4.027011494;0.005385227;-0.00526458;373;340.08;336.04;318.15;298.1;241;258;282.2
41;257.07;254;28.19618946;0.058541837;6.05E-05;0.039955265;3.992760712;0.005838153;-0.005709256;382;342.01;336.04;310.25;291.2;235.8;254;274.2
42;259.57;254.5;28.20647266;0.058518126;5.93E-05;0.041430635;3.874167143;0.005718396;-0.005572391;361;343.17;335.08;315.25;297.1;237;254.5;277.2
43;259.395;257;26.58493888;0.056604696;5.28E-05;0.040599086;4.15859733;0.00512977;-0.005035752;355;341.03;333.16;301;293.1;235;257;282
44;258.095;259;26.39897678;0.056600186;5.26E-05;0.03933445;3.949384142;0.0051541;-0.005108002;373;325.07;313.24;303.15;292.2;234.8;259;277
45;258.975;258;23.71190366;0.049813785;4.21E-05;0.034162564;3.930571538;0.004146091;-0.004123923;347;333.13;313.06;299.1;288;240;258;274.2
46;258.535;252;30.29172783;0.064341869;6.90E-05;0.046174116;3.977179637;0.006696345;-0.00657757;363;345.14;341.02;313;298.1;235;252;281.2
47;260;256;24.82579304;0.052010962;4.58E-05;0.036807692;3.989978801;0.004449283;-0.004365156;360;335.16;322.1;299.05;293.1;239;256;277.2
48;258.605;255.5;27.18085677;0.057048491;5.55E-05;0.040733164;3.953058869;0.005361287;-0.005239019;379;355.1;322.3;298.1;289.3;235.8;255.5;280
49;260.03;259;24.62943564;0.052531631;4.51E-05;0.037344153;3.978382552;0.004420631;-0.004377154;349;327.18;322.04;301.15;289.1;237.8;259;278.2
50;259.755;256.5;26.70421268;0.056208639;5.31E-05;0.039359493;3.894366197;0.005160473;-0.005070257;379;337.04;326.22;303.1;295;237;256.5;281
51;257.965;255.5;25.18479253;0.053637412;4.79E-05;0.038012618;3.896940727;0.004666005;-0.004595183;378;316.29;312.06;301.05;288.1;236;255.5;278
52;260.045;257;24.44346487;0.051884385;4.44E-05;0.036357265;4.061292866;0.004350019;-0.004303886;344;335.02;326.14;300.05;290.2;239.8;257;279.2
53;255.95;253;28.82164985;0.062183434;6.37E-05;0.04349287;3.874571102;0.006207648;-0.006114222;352;335.05;327.14;311.15;298;234;253;276.2
54;257.57;254;25.56413699;0.055366114;4.95E-05;0.039131886;3.864496593;0.004852804;-0.004802813;341;323.09;320;306.05;292.1;237;254;277.2
